spend_multiplier,channel,incremental_outcome_ci_hi,incremental_outcome_ci_lo,incremental_outcome_mean,spend,weekly_spend
0.09,Google Ads,69693.71875,46350.35546875,55654.35546875,27373.014,136.86507
0.09,TikTok,61958.19921875,52129.546875,56938.9765625,53031.74,265.1587
0.1,Facebook,47466.9375,36091.29296875,41173.4296875,44271.7,221.35849
0.1,Google Ads,76687.09375,51311.19140625,61445.72265625,30414.459,152.0723
0.1,TikTok,68558.125,57749.22265625,63036.02734375,58924.152,294.62076
0.11,Facebook,51905.98828125,39560.69921875,45088.109375,48698.87,243.49435
0.11,Google Ads,83596.8515625,56224.46484375,67164.7890625,33455.906,167.27953
0.11,TikTok,75088.28125,63350.40625,69089.296875,64816.566,324.08282
0.12,Facebook,56289.7578125,43022.80078125,48968.296875,53126.04,265.6302
0.12,Google Ads,90389.203125,61104.75390625,72813.296875,36497.35,182.48676
0.12,TikTok,81553.390625,68930.5078125,75099.671875,70708.98,353.5449
0.13,Facebook,60629.73828125,46478.51171875,52814.67578125,57553.207,287.76602
0.13,Google Ads,97002.4609375,65953.921875,78392.3828125,39538.797,197.69398
0.13,TikTok,87970.1953125,74483.546875,81067.3984375,76601.39,383.00696
0.14,Facebook,64888.85546875,49880.66015625,56627.46875,61980.38,309.9019
0.14,Google Ads,103490.0546875,70748.203125,83903.7734375,42580.242,212.90121
0.14,TikTok,94322.1328125,79987.0703125,86993.015625,82493.81,412.46906
0.15,Facebook,69119.40625,53281.04296875,60407.28515625,66407.555,332.03778
0.15,Google Ads,109836.1953125,75514.5078125,89348.34375,45621.69,228.10846
0.15,TikTok,100624.3828125,85437.1796875,92877.5546875,88386.23,441.93112
0.16,Facebook,73303.46875,56663.6875,64154.984375,70834.72,354.17358
0.16,Google Ads,116122.3203125,80266.3046875,94728.4296875,48663.133,243.31566
0.16,TikTok,106885.3671875,90907.7421875,98720.9375,94278.64,471.3932
0.17,Facebook,77422.640625,60019.0859375,67870.5390625,75261.89,376.30945
0.17,Google Ads,122342.015625,84981.28125,100044.3828125,51704.582,258.52292
0.17,TikTok,113058.9765625,96309.40625,104524.0390625,100171.055,500.8553
0.18,Facebook,81483.21875,63359.0859375,71554.6796875,79689.06,398.4453
0.18,Google Ads,128435.65625,89633.2109375,105297.8984375,54746.027,273.73013
0.18,TikTok,119212.734375,101667.5390625,110287.4921875,106063.48,530.3174
0.19,Facebook,85481.40625,66674.703125,75207.7734375,84116.23,420.58115
0.19,Google Ads,134349.515625,94278.125,110490.359375,57787.473,288.93738
0.19,TikTok,125307.78125,107023.484375,116011.46875,111955.88,559.7794
0.2,Facebook,89432.3984375,69956.78125,78830.4453125,88543.4,442.71698
0.2,Google Ads,140082.421875,98882.8125,115622.5859375,60828.918,304.1446
0.2,TikTok,131362.171875,112377.1328125,121696.4453125,117848.305,589.2415
0.21,Facebook,93385.6171875,73197.890625,82423.1875,92970.57,464.85284
0.21,Google Ads,145808.984375,103457.65625,120695.7109375,63870.363,319.3518
0.21,TikTok,137369.828125,117645.4921875,127343.015625,123740.71,618.70355
0.22,Facebook,97265.0,76433.5078125,85986.0390625,97397.74,486.9887
0.22,Google Ads,151467.984375,108001.609375,125711.1875,66911.81,334.55905
0.22,TikTok,143348.921875,122880.34375,132952.078125,129633.13,648.16565
0.23,Facebook,101097.296875,79665.9921875,89519.7734375,101824.914,509.12457
0.23,Google Ads,156958.625,112410.5859375,130669.9375,69953.26,349.7663
0.23,TikTok,149255.71875,128117.140625,138523.40625,135525.55,677.62775
0.24,Facebook,104857.03125,82859.8828125,93024.984375,106252.08,531.2604
0.24,Google Ads,162370.515625,116870.2109375,135572.96875,72994.7,364.9735
0.24,TikTok,155136.859375,133308.484375,144057.84375,141417.95,707.0898
0.25,Facebook,108684.34375,86066.1484375,96501.671875,110679.25,553.39624
0.25,Google Ads,167728.15625,121276.203125,140421.484375,76036.15,380.18076
0.25,TikTok,160907.953125,138543.9375,149555.765625,147310.38,736.5519
0.26,Facebook,112366.4765625,89209.609375,99950.3828125,115106.414,575.53204
0.26,Google Ads,172999.765625,125687.8984375,145216.5,79077.59,395.38797
0.26,TikTok,166731.8125,143725.671875,155017.765625,153202.78,766.0139
0.27,Facebook,116043.3828125,92344.8046875,103371.6328125,119533.59,597.66797
0.27,Google Ads,178218.140625,130050.2109375,149958.640625,82119.05,410.59525
0.27,TikTok,172502.609375,148892.0,160443.734375,159095.22,795.4761
0.28,Facebook,119706.84375,95478.6640625,106765.5859375,123960.76,619.8038
0.28,Google Ads,183359.59375,134359.140625,154649.28125,85160.484,425.80243
0.28,TikTok,178165.953125,153999.515625,165834.421875,164987.62,824.9381
0.29,Facebook,123269.390625,98594.0546875,110133.0,128387.93,641.93964
0.29,Google Ads,188533.234375,138656.46875,159289.5625,88201.93,441.00964
0.29,TikTok,183778.359375,159015.53125,171191.21875,170880.03,854.40015
0.3,Facebook,126822.1171875,101716.625,113473.7734375,132815.11,664.07556
0.3,Google Ads,193541.875,142925.53125,163879.296875,91243.38,456.21692
0.3,TikTok,189357.875,164078.0625,176512.65625,176772.45,883.86224
0.31,Facebook,130404.515625,104779.390625,116788.671875,137242.27,686.2113
0.31,Google Ads,198393.125,147187.78125,168420.34375,94284.83,471.42413
0.31,TikTok,194919.578125,169136.125,181800.5625,182664.86,913.3243
0.32,Facebook,133943.453125,107845.9609375,120077.5546875,141669.44,708.34717
0.32,Google Ads,203172.078125,151419.578125,172913.171875,97326.266,486.63132
0.32,TikTok,200421.546875,174123.546875,187054.984375,188557.28,942.7864
0.33,Facebook,137453.46875,110927.015625,123341.3671875,146096.61,730.48303
0.33,Google Ads,207825.765625,155586.703125,177359.1875,100367.72,501.8386
0.33,TikTok,205860.109375,179105.765625,192276.03125,194449.7,972.24854
0.34,Facebook,140951.265625,113972.5703125,126579.8984375,150523.78,752.6189
0.34,Google Ads,212659.46875,159724.328125,181758.421875,103409.164,517.04584
0.34,TikTok,211275.859375,184063.0625,197463.90625,200342.11,1001.7106
0.35000000000000003,Facebook,144368.109375,117005.28125,129794.2578125,154950.95,774.75476
0.35000000000000003,Google Ads,217010.6875,163868.0,186112.21875,106450.61,532.25305
0.35000000000000003,TikTok,216695.859375,189005.703125,202619.84375,206234.52,1031.1726
0.36,Facebook,147775.8125,120022.2265625,132983.984375,159378.12,796.8906
0.36,Google Ads,221455.625,167969.8125,190420.484375,109492.055,547.46027
0.36,TikTok,222088.515625,193899.8125,207744.0625,212126.95,1060.6348
0.37,Facebook,151153.8125,122957.0703125,136149.703125,163805.3,819.0265
0.37,Google Ads,225855.515625,172062.09375,194685.296875,112533.5,562.6675
0.37,TikTok,227364.515625,198738.828125,212835.90625,218019.36,1090.0968
0.38,Facebook,154400.015625,125893.0546875,139291.75,168232.45,841.1623
0.38,Google Ads,230274.4375,176038.03125,198906.734375,115574.945,577.87476
0.38,TikTok,232662.625,203583.609375,217896.65625,223911.77,1119.5588
0.39,Facebook,157733.953125,128900.9140625,142410.453125,172659.62,863.2981
0.39,Google Ads,234639.4375,180010.9375,203085.296875,118616.39,593.082
0.39,TikTok,237906.59375,208388.15625,222926.078125,229804.17,1149.0209
0.4,Facebook,160948.484375,131866.78125,145506.046875,177086.8,885.43396
0.4,Google Ads,238835.90625,183928.90625,207221.546875,121657.836,608.2892
0.4,TikTok,243153.703125,213159.28125,227925.25,235696.61,1178.483
0.41000000000000003,Facebook,164145.078125,134718.90625,148578.9375,181513.97,907.5698
0.41000000000000003,Google Ads,243096.0,187784.71875,211316.53125,124699.28,623.4964
0.41000000000000003,TikTok,248291.171875,217878.9375,232893.453125,241589.02,1207.9451
0.42,Facebook,167243.84375,137597.34375,151629.265625,185941.14,929.7057
0.42,Google Ads,247295.203125,191642.15625,215371.40625,127740.73,638.7036
0.42,TikTok,253442.71875,222631.828125,237832.53125,247481.42,1237.4071
0.43,Facebook,170470.0,140425.453125,154657.484375,190368.31,951.84155
0.43,Google Ads,251470.625,195444.859375,219386.015625,130782.18,653.9109
0.43,TikTok,258594.75,227366.203125,242741.984375,253373.84,1266.8693
0.44,Facebook,173688.578125,143267.984375,157663.84375,194795.48,973.9774
0.44,Google Ads,255624.28125,199253.578125,223361.703125,133823.62,669.1181
0.44,TikTok,263680.75,232036.25,247621.765625,259266.27,1296.3313
0.45,Facebook,176714.109375,146067.9375,160648.3125,199222.64,996.1132
0.45,Google Ads,259546.453125,203023.109375,227298.046875,136865.06,684.3253
0.45,TikTok,268716.84375,236617.53125,252472.390625,265158.66,1325.7933
0.46,Facebook,179830.15625,148877.140625,163611.6875,203649.83,1018.24915
0.46,Google Ads,263436.84375,206783.375,231197.09375,139906.52,699.5326
0.46,TikTok,273710.9375,241222.6875,257294.875,271051.1,1355.2555
0.47000000000000003,Facebook,182912.515625,151609.796875,166553.609375,208076.98,1040.3849
0.47000000000000003,Google Ads,267434.875,210589.15625,235057.9375,142947.95,714.73975
0.47000000000000003,TikTok,278669.4375,245725.796875,262088.390625,276943.5,1384.7175
0.48,Facebook,185941.125,154378.734375,169475.140625,212504.16,1062.5208
0.48,Google Ads,271315.40625,214340.203125,238881.84375,145989.4,729.947
0.48,TikTok,283591.34375,250388.953125,266854.1875,282835.9,1414.1796
0.49,Facebook,188988.28125,157157.75,172375.703125,216931.33,1084.6566
0.49,Google Ads,275117.78125,217953.671875,242669.8125,149030.86,745.1543
0.49,TikTok,288558.28125,254881.75,271591.375,288728.34,1443.6417
0.5,Facebook,191987.515625,159916.28125,175256.203125,221358.5,1106.7925
0.5,Google Ads,278787.15625,221584.5,246421.875,152072.3,760.3615
0.5,TikTok,293420.15625,259405.921875,276302.25,294620.75,1473.1038
0.51,Facebook,194868.234375,162659.875,178116.296875,225785.67,1128.9283
0.51,Google Ads,282189.125,225237.375,250138.953125,155113.73,775.56866
0.51,TikTok,298302.34375,263889.1875,280985.28125,300513.16,1502.5658
0.52,Facebook,197785.0625,165313.828125,180957.03125,230212.83,1151.0641
0.52,Google Ads,285580.75,228814.546875,253821.21875,158155.19,790.77594
0.52,TikTok,303012.09375,268416.09375,285641.3125,306405.56,1532.0278
0.53,Facebook,200706.09375,168026.078125,183777.9375,234640.0,1173.2
0.53,Google Ads,289437.65625,232342.65625,257469.3125,161196.62,805.98315
0.53,TikTok,307929.875,272882.125,290271.375,312297.97,1561.4899
0.54,Facebook,203625.203125,170691.078125,186579.9375,239067.19,1195.3359
0.54,Google Ads,293042.03125,235866.484375,261083.53125,164238.1,821.1905
0.54,TikTok,312719.1875,277355.25,294874.53125,318190.44,1590.9521
0.55,Facebook,206457.453125,173395.40625,189362.1875,243494.36,1217.4718
0.55,Google Ads,296625.6875,239461.890625,264664.84375,167279.53,836.39764
0.55,TikTok,317523.6875,281777.78125,299452.03125,324082.84,1620.4142
0.56,Facebook,209385.0625,175980.296875,192126.0625,247921.52,1239.6075
0.56,Google Ads,300048.21875,242956.421875,268212.8125,170320.97,851.60486
0.56,TikTok,322228.90625,286223.5,304003.28125,329975.25,1649.8762
0.5700000000000001,Facebook,212279.265625,178624.0,194871.21875,252348.69,1261.7434
0.5700000000000001,Google Ads,303520.625,246340.96875,271729.5,173362.42,866.81213
0.5700000000000001,TikTok,327013.375,290556.84375,308528.78125,335867.66,1679.3383
0.58,Facebook,215044.796875,181251.890625,197597.453125,256775.86,1283.8793
0.58,Google Ads,307068.5,249794.28125,275214.15625,176403.86,882.0193
0.58,TikTok,331632.8125,294828.375,313029.25,341760.06,1708.8003
0.59,Facebook,217852.5,183794.015625,200306.25,261203.02,1306.0151
0.59,Google Ads,310341.21875,253204.765625,278667.46875,179445.3,897.2265
0.59,TikTok,336194.5625,299025.25,317504.78125,347652.47,1738.2623
0.6,Facebook,220586.796875,186385.484375,202996.203125,265630.22,1328.1511
0.6,Google Ads,313714.8125,256531.203125,282090.21875,182486.77,912.43384
0.6,TikTok,340751.375,303269.96875,321955.625,353544.9,1767.7245
0.61,Facebook,223394.984375,188968.90625,205668.28125,270057.38,1350.2869
0.61,Google Ads,316864.46875,259952.5625,285481.75,185528.2,927.641
0.61,TikTok,345274.625,307577.59375,326382.4375,359437.3,1797.1865
0.62,Facebook,226177.625,191425.375,208323.421875,274484.53,1372.4226
0.62,Google Ads,320256.375,263307.625,288843.71875,188569.66,942.84827
0.62,TikTok,349773.3125,311799.71875,330784.15625,365329.72,1826.6486
0.63,Facebook,228850.296875,193941.015625,210960.5625,278911.72,1394.5586
0.63,Google Ads,323522.0,266525.6875,292176.0625,191611.1,958.0555
0.63,TikTok,354342.90625,316034.0625,335162.0625,371222.16,1856.1108
0.64,Facebook,231503.21875,196415.421875,213581.328125,283338.88,1416.6943
0.64,Google Ads,326588.09375,269793.0,295479.90625,194652.53,973.26263
0.64,TikTok,358867.15625,320207.84375,339516.375,377114.56,1885.5728
0.65,Facebook,234183.8125,198898.03125,216184.9375,287766.03,1438.8302
0.65,Google Ads,329794.9375,273126.375,298754.34375,197693.98,988.4699
0.65,TikTok,363268.1875,324336.78125,343845.96875,383006.97,1915.0348
0.66,Facebook,236835.703125,201389.78125,218771.0625,292193.22,1460.9661
0.66,Google Ads,333020.8125,276269.875,302001.1875,200735.44,1003.6772
0.66,TikTok,367688.0,328535.625,348153.5625,388899.4,1944.4971
0.67,Facebook,239533.5625,203902.78125,221340.828125,296620.4,1483.102
0.67,Google Ads,336261.65625,279482.75,305219.90625,203776.89,1018.88446
0.67,TikTok,372003.59375,332768.25,352436.96875,394791.8,1973.9591
0.68,Facebook,242054.0625,206388.40625,223894.46875,301047.56,1505.2378
0.68,Google Ads,339704.4375,282664.46875,308410.46875,206818.33,1034.0917
0.68,TikTok,376330.375,336787.5,356699.375,400684.22,2003.4211
0.6900000000000001,Facebook,244709.609375,208796.46875,226431.40625,305474.72,1527.3735
0.6900000000000001,Google Ads,342639.875,285848.875,311574.5,209859.77,1049.2988
0.6900000000000001,TikTok,380782.90625,340880.1875,360937.28125,406576.62,2032.8832
0.7000000000000001,Facebook,247309.90625,211193.15625,228952.25,309901.9,1549.5095
0.7000000000000001,Google Ads,345782.5625,288999.6875,314711.15625,212901.22,1064.5061
0.7000000000000001,TikTok,385135.5,345038.53125,365153.40625,412469.03,2062.3452
0.71,Facebook,249927.28125,213484.5625,231458.171875,314329.06,1571.6453
0.71,Google Ads,348935.375,292136.59375,317821.8125,215942.66,1079.7133
0.71,TikTok,389597.96875,349094.84375,369347.0625,418361.44,2091.8071
0.72,Facebook,252553.265625,215755.328125,233947.171875,318756.25,1593.7812
0.72,Google Ads,351926.0,295216.90625,320907.28125,218984.11,1094.9205
0.72,TikTok,393903.59375,353053.28125,373519.1875,424253.9,2121.2695
0.73,Facebook,255164.25,217986.28125,236420.828125,323183.4,1615.917
0.73,Google Ads,355272.6875,298273.71875,323965.96875,222025.56,1110.1278
0.73,TikTok,398353.46875,357020.90625,377668.875,430146.3,2150.7314
0.74,Facebook,257714.484375,220263.015625,238879.703125,327610.6,1638.053
0.74,Google Ads,358307.1875,301241.125,326999.1875,225067.0,1125.335
0.74,TikTok,402643.875,360983.1875,381797.15625,436038.72,2180.1936
0.75,Facebook,260204.078125,222561.703125,241323.203125,332037.75,1660.1887
0.75,Google Ads,361061.03125,304246.28125,330007.5,228108.44,1140.5422
0.75,TikTok,407002.1875,364967.125,385903.3125,441931.12,2209.6555
0.76,Facebook,262754.9375,224832.171875,243751.359375,336464.9,1682.3246
0.76,Google Ads,363834.8125,307151.40625,332991.71875,231149.89,1155.7495
0.76,TikTok,411194.46875,368885.625,389989.4375,447823.53,2239.1177
0.77,Facebook,265296.59375,227214.609375,246165.078125,340892.1,1704.4604
0.77,Google Ads,366711.46875,310095.1875,335951.0625,234191.33,1170.9567
0.77,TikTok,415444.375,372743.28125,394054.46875,453715.94,2268.5796
0.78,Facebook,267919.03125,229538.6875,248563.453125,345319.25,1726.5962
0.78,Google Ads,369557.125,312976.90625,338886.375,237232.78,1186.164
0.78,TikTok,419677.75,376649.40625,398097.125,459608.34,2298.0417
0.79,Facebook,270493.71875,231778.46875,250948.109375,349746.44,1748.7322
0.79,Google Ads,372488.65625,315794.28125,341797.53125,240274.23,1201.3712
0.79,TikTok,423794.8125,380558.34375,402121.34375,465500.8,2327.5042
0.8,Facebook,272906.59375,233940.390625,253317.625,354173.6,1770.8679
0.8,Google Ads,375364.25,318669.90625,344685.34375,243315.67,1216.5784
0.8,TikTok,427993.5,384478.28125,406123.96875,471393.22,2356.966
0.81,Facebook,275333.40625,236223.875,255673.265625,358600.78,1793.0039
0.81,Google Ads,378364.625,321517.6875,347550.28125,246357.12,1231.7856
0.81,TikTok,432065.0,388320.59375,410106.75,477285.62,2386.4282
0.8200000000000001,Facebook,277774.21875,238382.25,258014.796875,363027.94,1815.1396
0.8200000000000001,Google Ads,381362.375,324367.84375,350392.21875,249398.56,1246.9928
0.8200000000000001,TikTok,436107.46875,392196.15625,414069.1875,483178.03,2415.8901
0.8300000000000001,Facebook,280136.53125,240539.0,260341.5,367455.1,1837.2755
0.8300000000000001,Google Ads,384181.90625,327189.84375,353212.0625,252440.0,1262.2
0.8300000000000001,TikTok,440116.40625,396012.3125,418011.5625,489070.44,2445.3523
0.84,Facebook,282590.4375,242885.53125,262655.375,371882.28,1859.4114
0.84,Google Ads,387091.875,329876.0625,356009.125,255481.45,1277.4072
0.84,TikTok,444200.46875,399785.25,421934.375,494962.84,2474.8142
0.85,Facebook,285018.84375,245028.734375,264955.46875,376309.47,1881.5474
0.85,Google Ads,389978.03125,332565.84375,358784.46875,258522.9,1292.6145
0.85,TikTok,448296.21875,403521.65625,425837.8125,500855.28,2504.2764
0.86,Facebook,287435.34375,247128.296875,267241.9375,380736.62,1903.6831
0.86,Google Ads,392803.875,335303.1875,361537.375,261564.36,1307.8218
0.86,TikTok,452273.125,407241.75,429722.125,506747.7,2533.7385
0.87,Facebook,289910.625,249198.46875,269514.1875,385163.78,1925.8188
0.87,Google Ads,395737.8125,337959.5625,364269.375,264605.8,1323.029
0.87,TikTok,456315.75,410966.78125,433586.5,512640.1,2563.2004
0.88,Facebook,292230.59375,251347.453125,271774.59375,389590.97,1947.9548
0.88,Google Ads,398242.5625,340622.125,366979.875,267647.25,1338.2362
0.88,TikTok,460276.5,414619.28125,437432.1875,518532.53,2592.6626
0.89,Facebook,294679.46875,253390.875,274021.40625,394018.12,1970.0906
0.89,Google Ads,401212.03125,343285.65625,369670.1875,270688.7,1353.4435
0.89,TikTok,464221.65625,418361.5,441259.71875,524424.94,2622.1248
0.9,Facebook,297042.71875,255486.625,276254.78125,398445.28,1992.2264
0.9,Google Ads,403931.375,345821.8125,372339.8125,273730.12,1368.6506
0.9,TikTok,468145.375,422138.40625,445067.9375,530317.3,2651.5867
0.91,Facebook,299383.09375,257560.953125,278475.40625,402872.47,2014.3623
0.91,Google Ads,406698.625,348354.15625,374988.15625,276771.6,1383.8579
0.91,TikTok,472137.0625,425872.5625,448857.84375,536209.75,2681.0488
0.92,Facebook,301722.03125,259535.125,280684.03125,407299.66,2036.4983
0.92,Google Ads,409285.71875,350935.75,377616.59375,279813.03,1399.0652
0.92,TikTok,476008.59375,429438.75,452628.75,542102.2,2710.511
0.93,Facebook,304040.3125,261574.3125,282879.21875,411726.8,2058.634
0.93,Google Ads,412103.84375,353459.625,380225.25,282854.47,1414.2723
0.93,TikTok,479868.625,432975.75,456382.28125,547994.6,2739.9731
0.9400000000000001,Facebook,306366.125,263664.75,285062.53125,416153.97,2080.7698
0.9400000000000001,Google Ads,414590.40625,355862.34375,382814.40625,285895.9,1429.4795
0.9400000000000001,TikTok,483853.3125,436596.3125,460117.25,553887.0,2769.435
0.9500000000000001,Facebook,308640.5,265760.125,287232.625,420581.16,2102.9058
0.9500000000000001,Google Ads,417166.46875,358240.28125,385384.1875,288937.38,1444.6869
0.9500000000000001,TikTok,487761.28125,440104.1875,463834.09375,559779.44,2798.8972
0.96,Facebook,310880.625,267838.0625,289390.9375,425008.3,2125.0415
0.96,Google Ads,419733.5,360614.9375,387933.25,291978.8,1459.894
0.96,TikTok,491637.90625,443712.5625,467534.75,565671.8,2828.3591
0.97,Facebook,313011.1875,269777.28125,291537.125,429435.5,2147.1775
0.97,Google Ads,422226.0,363011.4375,390465.125,295020.25,1475.1012
0.97,TikTok,495450.25,447293.3125,471216.71875,571564.25,2857.8213
0.98,Facebook,315287.75,271705.96875,293671.40625,433862.66,2169.3132
0.98,Google Ads,424819.40625,365499.375,392977.84375,298061.72,1490.3086
0.98,TikTok,499268.8125,450878.53125,474880.96875,577456.7,2887.2834
0.99,Facebook,317578.4375,273653.75,295793.3125,438289.84,2191.4492
0.99,Google Ads,427309.84375,367940.1875,395471.75,301103.16,1505.5157
0.99,TikTok,503058.40625,454395.65625,478528.5,583349.06,2916.7454
1.0,Facebook,319832.46875,275621.5,297904.1875,442717.0,2213.585
1.0,Google Ads,429687.0625,370264.28125,397946.8125,304144.6,1520.723
1.0,TikTok,506899.625,457890.6875,482158.375,589241.5,2946.2075
1.01,Facebook,322049.34375,277449.5625,300003.1875,447144.16,2235.7207
1.01,Google Ads,432367.03125,372561.59375,400404.78125,307186.03,1535.9302
1.01,TikTok,510744.84375,461396.125,485771.0,595133.94,2975.6697
1.02,Facebook,324238.90625,279402.84375,302090.59375,451571.34,2257.8567
1.02,Google Ads,434978.15625,374811.0625,402845.0625,310227.47,1551.1373
1.02,TikTok,514620.0,464816.25,489368.75,601026.3,3005.1316
1.03,Facebook,326338.25,281348.84375,304166.0625,455998.5,2279.9924
1.03,Google Ads,437523.875,377063.3125,405266.1875,313268.94,1566.3447
1.03,TikTok,518324.375,468229.0625,492947.8125,606918.75,3034.5938
1.04,Facebook,328450.1875,283186.75,306231.875,460425.66,2302.1282
1.04,Google Ads,439912.46875,379247.03125,407670.03125,316310.38,1581.5519
1.04,TikTok,522029.46875,471514.25,496510.0625,612811.1,3064.0557
1.05,Facebook,330796.65625,285066.6875,308284.53125,464852.84,2324.2642
1.05,Google Ads,442513.9375,381431.6875,410056.96875,319351.8,1596.759
1.05,TikTok,525647.6875,474904.59375,500058.09375,618703.56,3093.5178
1.06,Facebook,332983.71875,286993.21875,310327.0625,469280.0,2346.4
1.06,Google Ads,445003.96875,383608.5625,412427.03125,322393.25,1611.9663
1.06,TikTok,529334.75,478306.15625,503587.53125,624595.94,3122.9797
1.07,Facebook,335266.375,288906.28125,312358.90625,473707.22,2368.5361
1.07,Google Ads,447447.125,385760.09375,414780.0,325434.72,1627.1736
1.07,TikTok,533049.5,481695.25,507102.09375,630488.44,3152.4421
1.08,Facebook,337380.3125,290814.125,314378.59375,478134.38,2390.6719
1.08,Google Ads,449841.125,387863.65625,417116.03125,328476.2,1642.381
1.08,TikTok,536786.875,485033.5625,510600.34375,636380.9,3181.9043
1.09,Facebook,339487.53125,292654.90625,316388.59375,482561.53,2412.8076
1.09,Google Ads,452444.4375,389890.46875,419435.875,331517.62,1657.5881
1.09,TikTok,540429.1875,488359.84375,514082.40625,642273.25,3211.3662
1.1,Facebook,341683.8125,294533.78125,318387.875,486988.72,2434.9436
1.1,Google Ads,454978.4375,392034.9375,421739.09375,334559.06,1672.7953
1.1,TikTok,544041.9375,491679.15625,517549.6875,648165.7,3240.8284
1.11,Facebook,343880.5625,296319.71875,320375.4375,491415.88,2457.0793
1.11,Google Ads,457497.84375,394046.59375,424025.78125,337600.5,1688.0024
1.11,TikTok,547584.1875,494830.5625,521000.0625,654058.06,3270.2903
1.12,Facebook,345963.90625,298145.59375,322353.90625,495843.03,2479.215
1.12,Google Ads,460066.0625,396038.5625,426297.25,340641.94,1703.2097
1.12,TikTok,551206.625,498243.0,524435.5,659950.5,3299.7524
1.1300000000000001,Facebook,348017.59375,299923.5625,324321.8125,500270.22,2501.351
1.1300000000000001,Google Ads,462621.71875,398072.0625,428552.03125,343683.38,1718.4169
1.1300000000000001,TikTok,554693.875,501454.3125,527856.125,665842.9,3329.2144
1.1400000000000001,Facebook,350038.0625,301769.875,326279.03125,504697.38,2523.4868
1.1400000000000001,Google Ads,465159.84375,400060.875,430792.21875,346724.84,1733.6243
1.1400000000000001,TikTok,558329.25,504734.875,531260.875,671735.3,3358.6765
1.1500000000000001,Facebook,351965.5,303566.875,328225.5,509124.53,2545.6226
1.1500000000000001,Google Ads,467681.03125,401870.15625,433015.4375,349766.28,1748.8314
1.1500000000000001,TikTok,561855.25,507940.09375,534649.1875,677627.7,3388.1384
1.16,Facebook,354066.40625,305357.59375,330162.53125,513551.72,2567.7585
1.16,Google Ads,470117.84375,403711.46875,435225.15625,352807.72,1764.0386
1.16,TikTok,565420.25,511120.21875,538025.5,683520.1,3417.6006
1.17,Facebook,356169.84375,307112.90625,332089.5625,517978.88,2589.8943
1.17,Google Ads,472674.6875,405653.53125,437418.4375,355849.16,1779.2457
1.17,TikTok,568942.1875,514297.78125,541383.4375,689412.5,3447.0625
1.18,Facebook,358305.3125,308889.84375,334006.53125,522406.03,2612.0303
1.18,Google Ads,475152.0625,407578.71875,439596.84375,358890.6,1794.453
1.18,TikTok,572357.3125,517459.90625,544729.0625,695304.94,3476.5247
1.19,Facebook,360368.40625,310501.40625,335912.90625,526833.25,2634.1663
1.19,Google Ads,477614.71875,409329.15625,441761.46875,361932.1,1809.6605
1.19,TikTok,575893.8125,520638.0625,548059.375,701197.44,3505.9873
1.2,Facebook,362475.03125,312254.5,337810.875,531260.44,2656.3022
1.2,Google Ads,480048.3125,411164.09375,443910.71875,364973.53,1824.8677
